metric,cbeanutils,ccli,ccollections,cio,clang,cmath,jodaconvert,jodatime,sudoku
Activity Risk,0.5,5.5,5.5,5.5,5.5,5.5,5.5,1.902061856,5.5
Freshness Risk,0.833333333,5.5,5.5,0.5,0.5,5.5,5.5,0.5,5.5
Management Risk,1.849301397,5.5,5.5,5.5,0.5,5.5,5.5,2.098802395,5.5
architecture,3.39526,4.84503,2.78497,4.06133,3.9044,3.58719,4.94951,3.64217,5.01658
codeBreakdown,1.86668,1.74713,1.29345,2.02038,1.57251,2.3522,2.89453,1.69616,2.7346
codeReuse,3.68192,5.5,3.33181,5.5,5.5,5.5,5.5,5.5,5.5
communicationCentralization,2.50038,5.5,1.2382,3.18441,2.81627,2.02415,5.5,2.46126,5.5
componentCohesion,3.99188,5.5,2.62227,4.55793,4.41789,3.49704,5.5,3.75654,5.5
componentCoupling,2.23213,5.5,1.5483,3.58801,3.47319,2.23884,5.5,2.70437,5.5
duplication,2.559633008,5.392400173,2.41797707,3.483899393,3.125554466,3.360466532,4.361392607,2.923359349,5.5
maintainability,2.634025203,3.241464404,3.728764897,3.451443683,3.022917263,2.738141792,4.363619229,2.889755609,4.18001535
moduleCoupling,0.876437117,1.852799624,3.186094469,2.214363321,1.9022651,1.816270987,5.5,0.729524289,0.815193464
reliability,4.4,5.5,2.2,2.8,3.1,3.7,5.5,3.4,5.5
technologyPrevalence,5.0691,5.06928,5.15767,4.95005,4.95657,5.05505,4.81789,4.94096,5.17949
testCodeRatio,2.447423295,2.480501393,5.990129734,2.272918125,2.03148979,1.36267485,1.540935673,2.515920826,1.472
unitComplexity,2.340845668,2.209958785,3.547026225,3.070064022,2.360329463,2.149729408,2.485272708,2.890242558,5.5
unitInterfacing,2.366933578,2.064989862,4.379920693,2.191166582,2.024230044,2.580397468,3.790504217,3.129011986,5.122116751
unitSize,2.842198694,2.890744205,4.214028637,4.058841195,3.5309215,2.448282873,3.250261739,3.771100165,5.302512506
volume,5.330992946,5.5,4.95381861,5.390373347,5.057535712,4.416157853,5.5,4.772892689,5.5
