System,Refactoring,Refactoring Number,totalNewFiles,totalNewVolumeInMonths,totalNewVolumeInLoc
cmath,extractmethod,1,1,1.46,1095
cmath,extractmethod,2,1,0.2986666666666667,224
cmath,extractmethod,3,0,0.0,0
cmath,extractmethod,4,1,2.030666666666667,1523
cmath,extractvariable,1,1,0.10666666666666667,80
cmath,extractvariable,2,1,2.025333333333333,1519
cmath,extractvariable,3,1,0.16133333333333333,121
cmath,extractvariable,4,1,0.22533333333333333,169
cmath,inline,1,1,0.18933333333333333,142
cmath,inline,2,12,2.490666666666667,1868
cmath,inline,3,43,12.421333333333333,9316
cmath,inline,4,1,0.30533333333333335,229
cmath,introduceindirection,1,4,0.86,645
cmath,introduceindirection,2,15,3.486666666666667,2615
cmath,introduceindirection,3,3,1.1360000000000001,852
cmath,introduceindirection,4,1,0.29333333333333333,220
cmath,introducepo,1,3,0.376,282
cmath,introducepo,2,6,1.052,789
cmath,introducepo,3,2,0.24000000000000002,180
cmath,introducepo,4,3,0.29866666666666664,224
cmath,variabletofield,1,0,0.0,0
cmath,variabletofield,2,1,0.664,498
cmath,variabletofield,3,1,0.256,192
cmath,variabletofield,4,1,0.050666666666666665,38
