System,Refactoring,Refactoring Number,totalNewFiles,totalNewVolumeInMonths,totalNewVolumeInLoc
cbeanutils,extractmethod,1,1,0.201333333,151
cbeanutils,extractmethod,2,1,1.605333333,1204
cbeanutils,extractmethod,3,1,0.076,57
cbeanutils,extractmethod,4,1,0.265333333,199
cbeanutils,extractvariable,1,1,0.710666667,533
cbeanutils,extractvariable,2,1,0.461333333,346
cbeanutils,extractvariable,3,1,0.461333333,346
cbeanutils,extractvariable,4,1,0.198666667,149
cbeanutils,inline,1,0,0,0
cbeanutils,inline,2,3,2.529333333,1897
cbeanutils,inline,3,1,0.305333333,229
cbeanutils,inline,4,1,0.322666667,242
cbeanutils,introduceindirection,1,1,0.410666667,308
cbeanutils,introduceindirection,2,3,1.510666667,1133
cbeanutils,introduceindirection,3,1,0.104,78
cbeanutils,introduceindirection,4,4,3.122666667,2342
cbeanutils,introducepo,1,1,0.009333333,7
cbeanutils,introducepo,2,3,0.837333333,628
cbeanutils,introducepo,3,1,0.012,9
cbeanutils,introducepo,4,1,0.009333333,7
cbeanutils,variabletofield,1,1,0.230666667,173
cbeanutils,variabletofield,2,0,0,0
cbeanutils,variabletofield,3,0,0,0
cbeanutils,variabletofield,4,1,0.198666667,149
ccli,extractmethod,1,1,0.437333333,328
ccli,extractmethod,2,1,0.196,147
ccli,extractmethod,3,1,0.229333333,172
ccli,extractmethod,4,1,0.784,588
ccli,extractvariable,1,1,1.230666667,923
ccli,extractvariable,2,0,0,0
ccli,extractvariable,3,0,0,0
ccli,extractvariable,4,0,0,0
ccli,inline,1,1,0.305333333,229
ccli,inline,2,1,1.408,1056
ccli,inline,3,1,0.14,105
ccli,inline,4,1,0.926666667,695
ccli,introduceindirection,1,3,1.462666667,1097
ccli,introduceindirection,2,19,8.757333333,6568
ccli,introduceindirection,3,1,0.121333333,91
ccli,introduceindirection,4,6,0.944,708
ccli,introducepo,1,1,0.012,9
ccli,introducepo,2,2,0.202666667,152
ccli,introducepo,3,11,0.313333333,235
ccli,introducepo,4,2,0.045333333,34
ccli,variabletofield,1,1,1.129333333,847
