metric,cbeanutils,ccli,ccollections,cio,clang,cmath,jodaconvert,jodatime,sudoku
Activity Risk,0.5,5.5,5.5,5.5,5.5,5.5,5.5,1.902061855670103,5.5
Freshness Risk,0.8333333333333334,5.5,5.5,0.5,0.5,5.5,5.5,0.5,5.5
Management Risk,1.849301397205589,5.5,5.5,5.5,0.5,5.5,5.5,2.0988023952095807,5.5
architecture,3.39526,4.84503,2.78497,4.06133,3.9044,3.58719,4.94951,3.64217,5.01658
boundedEvolution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
codeBreakdown,1.86668,1.74713,1.29345,2.02038,1.57251,2.3522,2.89453,1.69616,2.7346
codeReuse,3.68192,5.5,3.33181,5.5,5.5,5.5,5.5,5.5,5.5
communicationCentralization,2.50038,5.5,1.2382,3.18441,2.81627,2.02415,5.5,2.46126,5.5
componentCohesion,3.99188,5.5,2.62227,4.55793,4.41789,3.49704,5.5,3.75654,5.5
componentCoupling,2.23213,5.5,1.5483,3.58801,3.47319,2.23884,5.5,2.70437,5.5
componentEntanglement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
componentFreshness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
componentIndependence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataCoupling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplication,2.5596330080104095,5.392400173051519,2.41797706965665,3.483899393464916,3.125554465619194,3.3604665322680622,4.361392607276919,2.923359348933686,5.5
knowledgeDistribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maintainability,2.6340252034604608,3.241464404417847,3.7287648972064176,3.451443682990793,3.022917263485053,2.7381417920365743,4.363619228640916,2.889755608788257,4.180015349673797
moduleCoupling,0.87643711691182,1.8527996243193965,3.1860944688393222,2.2143633208332707,1.9022651003325093,1.8162709871774776,5.5,0.7295242888545741,0.8151934637202608
reliability,4.4,5.5,2.2,2.8,3.1,3.7,5.5,3.4,5.5
technologyPrevalence,5.0691,5.06928,5.15767,4.95005,4.95657,5.05505,4.81789,4.94096,5.17949
testCodeRatio,2.447423294608281,2.48050139275766,5.990129734175795,2.272918124562631,2.031489789928299,1.3626748501284611,1.54093567251462,2.51592082616179,1.472
unitComplexity,2.340845667515973,2.209958784706052,3.5470262248171753,3.070064022031639,2.36032946273566,2.1497294080290947,2.4852727075637677,2.8902425583421967,5.5
unitInterfacing,2.366933577765162,2.064989862326519,4.379920692804128,2.191166581675358,2.0242300436607623,2.5803974675589068,3.7905042167480865,3.1290119855044223,5.1221167508086705
unitSize,2.8421986939681716,2.890744205105947,4.21402863726808,4.058841194825931,3.530921499640218,2.448282873478466,3.2502617388842636,3.771100164828615,5.30251250560516
volume,5.330992945675472,5.5,4.953818609596916,5.390373346771597,5.057535712149789,4.416157853349235,5.5,4.7728926885325835,5.5
